Best trial: 431. Best value: 0.0288038: 100%
 1000/1000 [7:52:59<00:00, 29.78s/it]
[I 2025-08-01 09:45:31,680] Trial 50 finished with value: 0.032197824290969665 and parameters: {'min_abs_corr': 0.05311930297254998, 'max_pair_corr': 0.9270013236546464, 'iterations': 1565, 'learning_rate': 0.06373506218752586, 'depth': 6, 'l2_leaf_reg': 2.0278853757622564, 'subsample': 0.6714606245099594, 'rsm': 0.9168418426447227, 'bagging_temperature': 0.2290499368693087}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:45:57,969] Trial 51 finished with value: 0.029738365814270917 and parameters: {'min_abs_corr': 0.035049052183749124, 'max_pair_corr': 0.9830304898331931, 'iterations': 1730, 'learning_rate': 0.053080513564582654, 'depth': 5, 'l2_leaf_reg': 5.127421824291695, 'subsample': 0.6302540251115556, 'rsm': 0.7268461444031401, 'bagging_temperature': 0.42425957939031556}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:46:26,020] Trial 52 finished with value: 0.03082754183275796 and parameters: {'min_abs_corr': 0.043322175095790325, 'max_pair_corr': 0.9849207276917469, 'iterations': 1651, 'learning_rate': 0.05993874477842017, 'depth': 5, 'l2_leaf_reg': 5.301171897164547, 'subsample': 0.6017346262109172, 'rsm': 0.9437275150523982, 'bagging_temperature': 0.41452024951495103}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:46:47,851] Trial 53 finished with value: 0.030841491042244196 and parameters: {'min_abs_corr': 0.03492713835426608, 'max_pair_corr': 0.9134246825014254, 'iterations': 1817, 'learning_rate': 0.03882793839744691, 'depth': 5, 'l2_leaf_reg': 7.626773907609996, 'subsample': 0.6173379679462075, 'rsm': 0.9723337006998103, 'bagging_temperature': 0.26855957894155796}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:47:09,034] Trial 54 finished with value: 0.030533469342174234 and parameters: {'min_abs_corr': 0.029877985080367653, 'max_pair_corr': 0.972782989173404, 'iterations': 1511, 'learning_rate': 0.024088209769116995, 'depth': 5, 'l2_leaf_reg': 4.628660153104535, 'subsample': 0.537416811611633, 'rsm': 0.7737218976738246, 'bagging_temperature': 0.3009155768575451}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:47:47,500] Trial 55 finished with value: 0.03113872237256816 and parameters: {'min_abs_corr': 0.022582785228675416, 'max_pair_corr': 0.9310704437251992, 'iterations': 1674, 'learning_rate': 0.04174089986113686, 'depth': 6, 'l2_leaf_reg': 3.714699461192213, 'subsample': 0.5929601802056289, 'rsm': 0.899879122304693, 'bagging_temperature': 0.34900277680269515}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:47:59,433] Trial 56 finished with value: 0.032278000574147966 and parameters: {'min_abs_corr': 0.04892705447519673, 'max_pair_corr': 0.989912376216649, 'iterations': 1327, 'learning_rate': 0.009862243570938426, 'depth': 4, 'l2_leaf_reg': 5.974075042383143, 'subsample': 0.6883564175919417, 'rsm': 0.5502618730065966, 'bagging_temperature': 0.41943659147939394}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:48:39,892] Trial 57 finished with value: 0.031345315477281935 and parameters: {'min_abs_corr': 0.03991676112106271, 'max_pair_corr': 0.9601123806292893, 'iterations': 1207, 'learning_rate': 0.020237873345803858, 'depth': 7, 'l2_leaf_reg': 5.512993744157424, 'subsample': 0.5602861320754493, 'rsm': 0.73102035176862, 'bagging_temperature': 0.19413095657916699}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:48:55,259] Trial 58 finished with value: 0.03371237028744985 and parameters: {'min_abs_corr': 0.03376007942683972, 'max_pair_corr': 0.9506720181410927, 'iterations': 828, 'learning_rate': 0.14116616289521672, 'depth': 6, 'l2_leaf_reg': 5.042600203992133, 'subsample': 0.6297138886063801, 'rsm': 0.6184270588546774, 'bagging_temperature': 0.518259769188679}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:49:09,975] Trial 59 finished with value: 0.03128029066404974 and parameters: {'min_abs_corr': 0.04358680014872146, 'max_pair_corr': 0.9662291718945044, 'iterations': 1472, 'learning_rate': 0.04823540774465665, 'depth': 5, 'l2_leaf_reg': 4.359151460024796, 'subsample': 0.7178420624537113, 'rsm': 0.4762870371364071, 'bagging_temperature': 0.3679875786072587}. Best is trial 33 with value: 0.02960832058324651.
